Brand,Product,Product Type,Price,Rating,Image URL
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,Foundation,40.00 ,4.1 ,"https://images.ulta.com/is/image/Ulta/2306380?id=vMJan1&fmt=jpg&fit=constrain,1&wid=85&hei=361&op_sharpen=1&resMode=bilin"
BECCA Cosmetics,Zero No Pigment Foundation,Foundation,36.00 ,3.4 ,"https://images.ulta.com/is/image/Ulta/2567813?id=S3laC1&fmt=jpg&fit=constrain,1&wid=260&hei=266&op_sharpen=1&resMode=bilin"
It Cosmetics,Bye Bye Foundation Oil-Free Matte Full Coverage Moisturizer with SPF 50+,Foundation,39.50 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2561033?id=3Hdb02&fmt=jpg&fit=constrain,1&wid=95&hei=358&op_sharpen=1&resMode=bilin"
PÜR,4-in-1 Pressed Mineral Powder Foundation SPF 15,Foundation,29.50 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2236103?id=BPubR3&fmt=jpg&fit=constrain,1&wid=260&hei=267&op_sharpen=1&resMode=bilin"
Morphe,Morphe 2 Hint Hint Skin Tint,Foundation,17.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2569048?id=Xwxau3&fmt=jpg&fit=constrain,1&wid=260&hei=289&op_sharpen=1&resMode=bilin"
Too Faced,Born This Way Matte 24 Hour Foundation,Foundation,40.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2566720?id=9-Zan0&fmt=jpg&fit=constrain,1&wid=95&hei=358&op_sharpen=1&resMode=bilin"
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,Foundation,35.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2557739?id=4SjbC0&fmt=jpg&fit=constrain,1&wid=98&hei=360&op_sharpen=1&resMode=bilin"
It Cosmetics,Celebration Full Coverage Powder Foundation,Foundation,36.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2264055?id=pCCac0&fmt=jpg&fit=constrain,1&wid=260&hei=256&op_sharpen=1&resMode=bilin"
NARS,Sheer Glow Foundation,Foundation,47.00 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2539032?id=o8Kak1&fmt=jpg&fit=constrain,1&wid=136&hei=360&op_sharpen=1&resMode=bilin"
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,Foundation,18.00 ,4.1 ,"https://images.ulta.com/is/image/Ulta/2570573?id=HlsbK2&fmt=jpg&fit=constrain,1&wid=65&hei=361&op_sharpen=1&resMode=bilin"
It Cosmetics,Your Skin But Better CC+ Airbrush Perfecting Color Correcting Setting Powder,Foundation,35.00 ,3.8 ,"https://images.ulta.com/is/image/Ulta/2543926?id=FvzaD2&fmt=jpg&fit=constrain,1&wid=260&hei=272&op_sharpen=1&resMode=bilin"
Anastasia Beverly Hills,Luminous Foundation,Foundation,38.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2551437?id=3tUaC2&fmt=jpg&fit=constrain,1&wid=85&hei=359&op_sharpen=1&resMode=bilin"
Clinique,Superpowder Double Face Makeup,Foundation,31.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2260622?id=eM7ba2&fmt=jpg&fit=constrain,1&wid=214&hei=361&op_sharpen=1&resMode=bilin"
Milani,Conceal + Perfect 2-in-1 Foundation + Concealer,Foundation,9.99 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2529590?id=KerbA1&fmt=jpg&fit=constrain,1&wid=197&hei=359&op_sharpen=1&resMode=bilin"
The Ordinary,Coverage Foundation,Foundation,6.90 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2569941?id=1Jqbq0&fmt=jpg&fit=constrain,1&wid=120&hei=360&op_sharpen=1&resMode=bilin"
KVD Vegan Beauty,Lock-It Foundation,Foundation,37.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2570562?id=232bl1&fmt=jpg&fit=constrain,1&wid=112&hei=361&op_sharpen=1&resMode=bilin"
Estée Lauder,Futurist Hydra Rescue Moisturizing Makeup SPF 45,Foundation,45.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2559119?id=csdb31&fmt=jpg&fit=constrain,1&wid=87&hei=359&op_sharpen=1&resMode=bilin"
PÜR,4-In-1 Love Your Selfie Longwear Foundation & Concealer,Foundation,36.00 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2544507?id=W-Yaz2&fmt=jpg&fit=constrain,1&wid=113&hei=358&op_sharpen=1&resMode=bilin"
