Brand,Product,Product Type,Price,Rating,Image URL
Juvia's Place,The Nudes Eyeshadow Palette,Eyeshadow,Price$14.00,3.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2564699?id=BBebc3&fmt=jpg&fit=constrain,1&wid=260&hei=179&op_sharpen=1&resMode=bilin"
Juvia's Place,The Sweet Pinks Eyeshadow Palette,Eyeshadow,Price$14.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2571653?id=KgSag2&fmt=jpg&fit=constrain,1&wid=260&hei=174&op_sharpen=1&resMode=bilin"
Morphe,35G Bronze Goals Artistry Palette,Eyeshadow,Price$25.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2555205?id=7g1bC1&fmt=jpg&fit=constrain,1&wid=260&hei=153&op_sharpen=1&resMode=bilin"
Juvia's Place,Warrior II Eyeshadow Palette,Eyeshadow,Price$20.00,4.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2536088?id=RmDaH3&fmt=jpg&fit=constrain,1&wid=260&hei=205&op_sharpen=1&resMode=bilin"
Anastasia Beverly Hills,Modern Renaissance Eyeshadow Palette,Eyeshadow,Price$45.00,4.8 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2304425?id=05sav0&fmt=jpg&fit=constrain,1&wid=260&hei=121&op_sharpen=1&resMode=bilin"
LORAC,PRO Palette Noir,Eyeshadow,Price$35.00,4.8 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2571971?id=usIah3&fmt=jpg&fit=constrain,1&wid=260&hei=152&op_sharpen=1&resMode=bilin"
Morphe,9D Painted Desert Artistry Palette,Eyeshadow,Price$12.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2552489?id=9Y8bQ2&fmt=jpg&fit=constrain,1&wid=260&hei=345&op_sharpen=1&resMode=bilin"
Morphe,35V Stunning Vibes Artistry Palette,Eyeshadow,Price$25.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2572536?id=E2UaK0&fmt=jpg&fit=constrain,1&wid=260&hei=154&op_sharpen=1&resMode=bilin"
KKW BEAUTY,Classic Blossom Eyeshadow Palette,Eyeshadow,Price$45.00,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2548145?id=TQ1bV3&fmt=jpg&fit=constrain,1&wid=260&hei=118&op_sharpen=1&resMode=bilin"
Tarte,Tartelette Toasted Eyeshadow Palette,Eyeshadow,Price$39.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2518856?id=zUIat0&fmt=jpg&fit=constrain,1&wid=260&hei=187&op_sharpen=1&resMode=bilin"
Makeup Revolution,Forever Flawless Spirituality Palette,Eyeshadow,Price$15.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2563678?id=amAbL1&fmt=jpg&fit=constrain,1&wid=260&hei=144&op_sharpen=1&resMode=bilin"
ColourPop,Blush Crush Eyeshadow Palette,Eyeshadow,Price$14.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2561408?id=hlubI3&fmt=jpg&fit=constrain,1&wid=260&hei=260&op_sharpen=1&resMode=bilin"
NYX Professional Makeup,Ultimate Utopia Shadow Palette,Eyeshadow,Price$35.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2565876?id=OkHan3&fmt=jpg&fit=constrain,1&wid=260&hei=168&op_sharpen=1&resMode=bilin"
Smashbox,Cover Shot Eye Shadow Palette,Eyeshadow,Price$29.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2531509?id=me-am2&fmt=jpg&fit=constrain,1&wid=260&hei=129&op_sharpen=1&resMode=bilin"
KVD Vegan Beauty,Edge of Reality Fully Recyclable Eyeshadow Palette,Eyeshadow,Price$45.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2571826?id=2d5bS2&fmt=jpg&fit=constrain,1&wid=260&hei=163&op_sharpen=1&resMode=bilin"
Morphe,35M Boss Mood Artistry Palette,Eyeshadow,Price$25.00,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2575534?id=1hPaD2&fmt=jpg&fit=constrain,1&wid=260&hei=155&op_sharpen=1&resMode=bilin"
ULTA,Blushing Blooms Eye Shadow Palette,Eyeshadow,Price$20.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2561782?id=wM1bo2&fmt=jpg&fit=constrain,1&wid=260&hei=260&op_sharpen=1&resMode=bilin"
Lime Crime,Venus XL 2 Pressed Powder Eyeshadow Palette,Eyeshadow,Price$58.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2543753?id=nM5bj3&fmt=jpg&fit=constrain,1&wid=260&hei=170&op_sharpen=1&resMode=bilin"
ColourPop,Going Coconuts Eyeshadow Palette,Eyeshadow,Price$12.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2564721?id=SdgbH2&fmt=jpg&fit=constrain,1&wid=260&hei=254&op_sharpen=1&resMode=bilin"
NABLA,Side By Side Palette,Eyeshadow,Price$39.00,4.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2575298?id=n47bY1&fmt=jpg&fit=constrain,1&wid=260&hei=284&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Born To Run Eyeshadow Palette,Eyeshadow,Price$49.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2530027?id=4sGa62&fmt=jpg&fit=constrain,1&wid=260&hei=117&op_sharpen=1&resMode=bilin"
Juvia's Place,The Zulu Eyeshadow Palette,Eyeshadow,Price$20.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2536082?id=XziaS2&fmt=jpg&fit=constrain,1&wid=260&hei=205&op_sharpen=1&resMode=bilin"
Dose Of Colors,Dose Of Colors x iluvsarahii Eyeshadow Palette,Eyeshadow,Price$17.50,3.8 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2534621?id=x1DaK1&fmt=jpg&fit=constrain,1&wid=260&hei=158&op_sharpen=1&resMode=bilin"
Too Faced,Sweet Peach Eyeshadow Palette,Eyeshadow,Price$49.00,4.8 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2302801?id=2thaG0&fmt=jpg&fit=constrain,1&wid=260&hei=113&op_sharpen=1&resMode=bilin"
Buxom,Customizable Eyeshadow Bar Single Refills,Eyeshadow,Price$12.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2299045?id=Z1ub10&fmt=jpg&fit=constrain,1&wid=260&hei=166&op_sharpen=1&resMode=bilin"
Buxom,White Russian Cheek & Eye Palette,Eyeshadow,Price$39.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2565617?id=ULubu3&fmt=jpg&fit=constrain,1&wid=260&hei=108&op_sharpen=1&resMode=bilin"
LORAC,PRO Palette Artist Edition Meraki,Eyeshadow,Price$45.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2571969?id=GSaby1&fmt=jpg&fit=constrain,1&wid=260&hei=249&op_sharpen=1&resMode=bilin"
bareMinerals,Gen Nude Rose Eyeshadow Palette,Eyeshadow,Price$29.00,4.2 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2527055?id=neJaY2&fmt=jpg&fit=constrain,1&wid=228&hei=360&op_sharpen=1&resMode=bilin"
Tarte,Shape Tape Shaping Eyeshadow Palette,Eyeshadow,Price$22.00,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2563760?id=NntaL2&fmt=jpg&fit=constrain,1&wid=260&hei=224&op_sharpen=1&resMode=bilin"
