Brand,Product,Product Type,Price,Rating,Image URL
MAC,Matte Lipstick,Lipstick,Price$19.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2574719?id=MTMaL0&fmt=jpg&fit=constrain,1&wid=84&hei=360&op_sharpen=1&resMode=bilin"
KKW BEAUTY,Nude Crème Lipstick,Lipstick,Price$18.00,3.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2548198?id=MR8b23&fmt=jpg&fit=constrain,1&wid=213&hei=360&op_sharpen=1&resMode=bilin"
Tarte,Tarteist Quick Dry Matte Lip Paint,Lipstick,Price$20.00,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2501232?id=7Gpay1&fmt=jpg&fit=constrain,1&wid=56&hei=358&op_sharpen=1&resMode=bilin"
MAC,Mini MAC Lipstick,Lipstick,Price$12.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2552344?id=Qbxbm0&fmt=jpg&fit=constrain,1&wid=95&hei=361&op_sharpen=1&resMode=bilin"
ULTA,Luxe Lipstick,Lipstick,Price$9.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2564492?id=uv_az2&fmt=jpg&fit=constrain,1&wid=90&hei=359&op_sharpen=1&resMode=bilin"
Anastasia Beverly Hills,Matte Lipstick,Lipstick,Price$18.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2514543?id=L-za83&fmt=jpg&fit=constrain,1&wid=89&hei=360&op_sharpen=1&resMode=bilin"
Smashbox,Always On Longwear Matte Liquid Lipstick,Lipstick,Price$24.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2557805?id=EDPaV3&fmt=jpg&fit=constrain,1&wid=207&hei=359&op_sharpen=1&resMode=bilin"
NARS,Lipstick,Lipstick,Price$26.00,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2546779?id=9Y3b43&fmt=jpg&fit=constrain,1&wid=86&hei=362&op_sharpen=1&resMode=bilin"
Clinique,Almost Lipstick,Lipstick,Price$20.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2153395?id=zqNae1&fmt=jpg&fit=constrain,1&wid=87&hei=361&op_sharpen=1&resMode=bilin"
NARS,Velvet Matte Lip Pencil,Lipstick,Price$27.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2504430?id=ahY9_2&fmt=jpg&fit=constrain,1&wid=43&hei=356&op_sharpen=1&resMode=bilin"
