Brand,Product,Product Type,Price,Rating,Image URL
Clinique,Blushing Blush Powder Blush,Blush,26.00 ,4.7 ,"https://images.ulta.com/is/image/Ulta/2153764?id=zwAaj0&fmt=jpg&fit=constrain,1&wid=260&hei=216&op_sharpen=1&resMode=bilin"
e.l.f. Cosmetics,Putty Blush,Blush,6.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2574636?id=2RDa83&fmt=jpg&fit=constrain,1&wid=260&hei=118&op_sharpen=1&resMode=bilin"
COVER FX,Monochromatic Blush Duo,Blush,38.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2544492?id=luebN3&fmt=jpg&fit=constrain,1&wid=260&hei=326&op_sharpen=1&resMode=bilin"
ColourPop,Romance Collection Blush,Blush,8.00 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2573158?id=2CUaf3&fmt=jpg&fit=constrain,1&wid=180&hei=360&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,Cheek Party Mini Blush & Bronzer Set,Blush,30.00 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2567690?id=kw6by2&fmt=jpg&fit=constrain,1&wid=260&hei=160&op_sharpen=1&resMode=bilin"
It Cosmetics,Bye Bye Pores Blush,Blush,26.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2514621?id=F7La60&fmt=jpg&fit=constrain,1&wid=260&hei=276&op_sharpen=1&resMode=bilin"
Clinique,Cheek Pop,Blush,26.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2271486?id=YV5bG0&fmt=jpg&fit=constrain,1&wid=260&hei=257&op_sharpen=1&resMode=bilin"
Milani,Rose Blush Trio Palette,Blush,12.99 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2536452?id=18Gah0&fmt=jpg&fit=constrain,1&wid=260&hei=113&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,Sugarbomb Blush Mini,Blush,17.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2560951?id=kCebt0&fmt=jpg&fit=constrain,1&wid=260&hei=319&op_sharpen=1&resMode=bilin"
Morphe,8M Medium Vibes Complexion Pro Face Palette,Blush,24.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2567766?id=0jQaV3&fmt=jpg&fit=constrain,1&wid=260&hei=189&op_sharpen=1&resMode=bilin"
NARS,Liquid Blush,Blush,30.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2512634?id=8mSa82&fmt=jpg&fit=constrain,1&wid=160&hei=359&op_sharpen=1&resMode=bilin"
ULTA,Flushed Blush,Blush,10.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2526717?id=ZvmbJ1&fmt=jpg&fit=constrain,1&wid=260&hei=259&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,Dandelion Twinkle Soft Highlighter Mini,Blush,17.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2525479?id=rMSay0&fmt=jpg&fit=constrain,1&wid=260&hei=337&op_sharpen=1&resMode=bilin"
